Beds,Baths,Basement,Parking Spaces,Garage Spaces,Carport Spaces,Lot Size SqFt,Price Sold,Kitchens,Fireplaces Total,Year Built (Est),SqFt Fin Total,SqFt Unfinished,Lot Size Acres,Sub area,Filename
4,3,1,4,2,0,6211,1265000,2,2,1978,2762,519,0,12,21719485
6,2,1,2,0,0,5600,600000,2,0,1916,2247,0,0,26,24058133
6,4,1,3,2,0,10126,1500000,2,2,1992,3528,264,0,11,23174928
4,3,1,4,0,0,8244,1181000,2,1,1960,2458,265,0,12,21992645
5,3,0,6,2,0,11761,1466000,2,0,1987,2756,1392,0,36,22438430
4,3,1,2,0,0,5987,699900,2,0,1979,1991,0,0,27,21863702
6,3,1,2,0,0,8060,1403000,1,1,1964,2897,206,0,11,26060215
6,3,1,2,0,0,6180,1135000,2,1,1964,2506,0,0,15,25905258
5,4,1,3,2,0,7422,1800000,2,2,1983,3592,484,0,17,22149824
3,2,1,2,0,0,8100,930000,2,0,1931,1516,184,0,19,21380581
5,4,1,2,0,0,6104,999999,2,1,1988,2204,254,0,26,20924305
5,5,1,6,2,0,7187,1570800,2,1,2020,2742,546,0,10,20461937
3,2,1,3,1,0,13105,1200000,1,1,1970,1847,402,0,7,25873467
4,2,1,4,1,0,7397,940000,2,2,1968,2085,357,0,14,23396039
4,2,1,2,0,0,8231,999000,2,1,1950,1962,188,0,28,21401959
4,3,1,2,0,1,5867,950000,2,2,1972,2074,80,0,16,21325804
5,2,1,4,0,0,10296,1140000,2,1,1951,2231,210,0,16,21766206
5,3,1,2,0,1,6130,1200000,2,1,1976,2407,0,0,12,21795477
4,3,1,4,0,0,11227,967500,2,2,1958,2324,203,0,39,23637429
5,3,1,3,1,0,7331,1405000,2,1,1973,2116,0,0,12,22279019
6,4,1,4,1,0,6195,1303000,2,2,1972,2749,345,0,15,21942732
3,2,1,3,0,0,6098,999000,2,1,1953,1967,622,0,28,22667302
5,3,1,8,3,0,12094,1070000,2,2,1957,2854,1110,0,12,21764407
5,2,1,5,1,0,8365,1275000,2,1,1968,2302,679,0,28,22829294
3,2,1,5,0,0,8316,958000,2,1,1954,2506,367,0,18,21074597
5,3,0,3,0,0,6850,865000,2,0,1979,1927,394,0,33,20939909
5,3,1,4,2,0,10430,1130000,2,1,1981,2523,399,0,33,23795905
4,3,1,2,0,1,5987,1225000,2,1,1975,2466,280,0,12,24552920
4,2,1,1,1,0,8006,1500000,2,1,1955,2040,665,0,8,22146223
4,4,1,4,0,0,6550,1325000,2,1,1980,2519,550,0,18,24288818
3,2,1,2,1,0,8880,1249900,2,2,1956,2006,995,0,11,22934642
4,3,1,4,1,0,5650,1345000,2,0,2019,2292,0,0,10,21033254
4,3,1,0,0,0,6188,1414000,2,1,1931,2069,379,0,3,21253048
3,2,1,3,1,1,7765,1651000,2,1,1964,2413,0,0,11,22901991
5,3,1,2,0,0,12253,1400000,2,2,1966,3320,0,0,17,22331407
4,2,1,4,0,0,6650,998900,2,1,1966,1970,0,0,39,24306969
5,2,1,5,1,0,8400,1175000,1,1,1962,1858,302,0,6,25976576
6,3,1,4,0,0,7700,951500,2,1,1955,2335,0,0,39,23871625
5,2,1,2,1,0,16401,1399900,2,1,1950,2318,680,0,12,20838223
4,2,0,5,1,0,12300,1193000,2,1,1966,2037,189,0,12,21557379
4,2,1,4,0,2,44431,1400000,2,0,1955,3530,781,1,36,24383506
4,3,1,2,2,0,8072,1300000,2,0,1955,2349,0,0,27,24649347
